TV1,Bond,Harry Potter,Cheesy,Game
"Hey baby, wanna twirl with me?",Just relax while we unzip your files.,,Do you bleach your teeth? 'Because your smile lights up the entire room like a candle in the dark. Let's go prove it.,You make my Darkrai rise.
"Hey baby, you look so good, I wish I could plant you and grow a whole field of y'all!",Just relax while we unzip your files.,,Do you have a Band-Aid? Because I just scraped my knee falling for you.,You make my Gyrados HYDROPUMP!
Hey girl!! Why don't you stand up and wrap your arms around a REAL man? Ok checkitout checkitout checkitout. I got 4 words for you... Hol-i-day. inn. C'mon girl you know you want to!,"Log cabin girl: ""Oh James, I cannot find the words.""",,Do you have a keg in your pants? Because I'd like to tap that!,"You might need to catch them all, but all I need to catch is you."
"Hey girl, I don't have power and success, but I'm funny.","Bond: ""Well, let me try and enlarge your vocabulary.""",,Do you have a map? Because I just keep getting lost in your eyes!,You must be a Charmander because you're getting me hot.
"Hey girl, let's go to the deer blind.","Major Anya Amasova: ""That it's very important to have a positive mental attitude.""",,Do you have a mirror in your pocket? 'Because I could see myself in your pants.,"You put the ""BONE"" in Cubone."
"Hey girl, no need to hunt, you already trapped my heart.","James Bond: ""Nothing more practical than that?""",,Do you have a name or can I call you mine?,"You put the ""cool"" in Tentacool."
"Hey girl, you look so good, I'd marry you brother just to get in your family","Major Anya Amasova: ""Food is also very important.""",,Do you have a pencil? Because I want to erase your past and write our future.,"You put the ""Double-D"" in Dodou."
Hey Wadester.,"James Bond: ""Mm hmm. What else?""",,"Do you have a sunburn, or are you always this hot?","You put the ""Wiggle"" in Wigglytuff."
Hey! I'm so dope. I'm illegal in 55 states!,"Major Anya Amasova: ""When necessary, shared bodily warmth.""",,Do you have a twin sister? Then you must be the most beautiful girl in the world!,"You remind me of Deoxys, you're out of this world."
"Hey, boo. Are you aging in reverse? 'Cause you look barely legal.","James Bond: ""That's the part I like.""",,Do you have an eraser? Because I can't get you out of my mind.,"You remind me of Pokemon, I just want to Pikachu."
"Hey, did you used to be a demon? Cuz that's hot.","Marie: ""Is there something I can do for you?""",,Do you have any raisins? [No] How about a date?,You set my Chimchar on fire.
"Hey, girl, I’ve got some gossip for you. You sexy.","James Bond: ""As a matter of fact, there is. There's something I'd like you to get off your chest.""",,Do you have any sunscreen? 'Because you are burning me up!,You'll be WEEZING after I'm done with you.
"Hey, Hey, Hey, Hey! Let's go out sometimes.","May Day, where have you been? I've been waiting for you . . . to take care of me, personally.",,"Do you have the time? [Tells you the time] No, the time to write down my number?","You're such a good catch, i think i'll use my only MASTER BALL on you."
"Hey, Wanna take a trip to the special hell?",Mayday: Someone will take care of you.,,"Do you have the time? No, the time to write down my number?",You've got the lips of a Jynx!
"Hi, I'm Tom, I have a raccoon on my head.","James Bond: Oh! You'll see to that personally, will you?",,Do you know how I got these biceps? By lifting children out of poverty.,Your gonna need a HYPERPOTION by the time i'm done with you.
"Hi, my name is George, I'm unemployed and I live with my parents.","Miss Caruso: ""Such a delicate touch.""",,Do you know karate cause your body is kickin,Your more beautiful than a Beautifly.
"Hi, my name is Vod – Vod-Kaknockers!","Bond: ""Sheer magnetism, darling.""",,Do you know karate? Because your body is really kickin'.,Default dance repeatedly'
How about we head up to the bedroom for some halftime festivities?,"Miss Taro: ""What should I say to an invitation from a strange gentleman?""",,Do you know karate? Because your body's kickin!,Are you a Loot Pinata? Cause I can smack you all night long.
How about you let me put my Malcolm in your middle.,"James Bond: ""You should say yes.""",,"Do you know what I did last night? I looked up at the stars, and matched each one with a reason why I love you.",Are you an ATK? Because I want to get inside you
How you doing?,"Now put your clothes back on, and I'll buy you an ice cream.",,Do you know what my shirt is made of? Boyfriend material.,Are you purple save cause I’m checking you out.
Hurry up and write your number down before I don't want it no more,"Now put your clothes back on, and I'll buy you an ice cream.",,Do you know what'd look good on you? Me.,Call me cupid Cause I Just landed a crossbow shot to your heart.
I almost died choking on a donut! Alone!,"Oh, the things I do for England.",,Do you like short love affairs? I hate them - I've got all weekend.,Can i be your victory royale?
I always wear my special hat in bed,"Oh, the things I do for my country!",,"Do you live in a corn field, cause I'm stalking you.",Can I chug on your jugs?
I am a leaf on the wind... in bed,"Plenty O'Toole: ""Hi, I'm Plenty.""",,"Do you remember me? [No.] Oh that's right, we've only met in my dreams.",Can I explore your chest?
I am a love maker!,"James Bond: ""But of course you are.""",,Do you sleep on your stomach? No. Can I?,Can I hide in your bush?
I am a regular Harry Potter… In the kitchen of course.,"Roses are red, violets are blue, your pin number 6852.",,Do you want to see a picture of a beautiful person? (hold up a mirror),Can I see your chug jugs
I am filled with so much love for you my heart might explode.,"Russian Lady Agent: ""But James, I need you!""",,Do you work at Dick's? Because you're sporting the goods.,Come ride my big rocket and have a good time.
I am on a drug. It's called Charlie Sheen.,"Bond: ""So does England!""",,Do you work at Starbucks? Because I like you a latte.,Did you come from the lodge? Because I wouldn't make you lonely.
I blue myself when I think about you.,"Saida: ""Ah! I've lost my charm!""",,Do you work at subway? Because you just gave me a footlong!,Did you come from Tilted Towers? because I would Tilt you over!
"I can handle this. ""Handle"" is my middle name. Actually, ""handle"" is the middle of my first name.","James Bond: ""Not from where I'm standing.""",,Do you work for UPS? I could have sworn I saw you checking out my package.,"Do you play Fortnite, I want you in my fort tonight"
I don't have to be a medical professional to diagnose you with an extreme case of sexy.,Shocking. Positively shocking.,,Do you work for UPS? I could have sworn I saw you checking out my package.,Do you wanna see my tilted tower
I don't let anything get in the way of what I want. And I want you.,"Silva: ""There's a first time for everything — eh, Mr. Bond?""",,Do your legs hurt from running through my dreams all night?,Do you want to be lonely like lonely lodge or all action like tilted towers
I don't smoke...but I do flirt...,"James Bond: ""What makes you think it's my first time?""",,Does your father sell diamonds? Because you are FLAWLESS!,Fancy some pump action?
"I don't wanna blink, 'cause I'm afraid to miss even a second of your cuteness.","Sir Donald Munger: ""Tell me, Commander, how far does your expertise extend into the field of diamonds?""",,Does your left eye hurt? Because you've been looking right all day.,Get in my ATK.
"I don’t know about you, but I’m feeling pretty enlightened right now.","James Bond: ""Well, hardest substance found in nature, they cut glass, suggest marriages, I suppose it replaced the dog as the girl's best friend. That's about it.""",,Don’t you work at Hooters?,Girl are you a legendary?
I followed Hall & Oates around the country one summer,"Solitaire: ""Is there time before we leave for lesson number three?""",,"Even if there wasn't any gravity on earth, I would still fall for you!",Girl are you a Scar? You are Golden.
I have never met a pizza that I didn't like.,"James Bond: ""Of course. There's no sense going out half-cocked.""",,"Excuse me, but does this smell like chloroform to you?",Girl are you a supply drop? You are an angel that fell from the sky and saved me.
"I heard this place sells coffee. Maybe you and I could get one sometime, if you want.","Solitaire: ""James, what are you doing?""",,"Excuse me, but I think I dropped something. MY JAW!",Girl are you victory royal? You are my only one out of 100.
I hope your soul is permanent because I will give you more than one moment of true happiness,"James Bond: ""Just testing an old adage: 'Unlucky at cards . . . '""",,"Excuse me, but you dropped something back there"" (What?) ""This conversation, lets pick it up later tonight.","Hey babe, want me to grease up your grove tonight?"
I just hope my next fake girlfriend isn't so bossy,"Strawberry Fields: ""If you attempt to flee, I will arrest you, drop you off at the jail, and take you to the plane in chains, understand?""",,"Excuse me, could you please dial down your hotness, it's causing global warming",Hey girl wanna play doubles?
I just want to get my mother out of my head. I don't want to quit drinking or gambling or none of that good stuff.,"James Bond: ""Perfectly. After you.""",,"Excuse me, does this rag smell like chloroform to you?",How many bucks to see your V
I know your feet must be tired because you've been running through my mind all day!,"Mathis: ""I think she has handcuffs.""",,"Excuse me, I don't want you to think I'm ridiculous or anything, but you are the most beautiful woman I have ever seen. I just felt like I had to tell you.",I am no grappler but I could still reel you in.
I like hot girls. And I like hot boys. I like hot people. What can I say? I'm shallow.,"James Bond: ""I hope so.""",,"Excuse me, I just noticed you noticing me and I just wanted to give you notice that I noticed you too",I can explore your shifty with my clocktower.
"I like my women like I like my wine, red and full of alcohol.",Take a giant step for mankind.,,"Excuse me, I think you have something in your eye. Oh wait, it's just a sparkle.","I just survived Titled Towers, so I'm totally looted up right now."
I like the shape of your ears.,Tatiana Romanova: I think my mouth is too big!,,"Excuse me, I'd like to have kids someday, and I wanted to know how your parents created such a beautiful creature.",I love you by Default!
I like to listen to 90's R&B before trial.,"James Bond: It's just the right size... for me, that is.",,"Excuse me, I'm lost. Can you give me directions to your house?",I promise I ain't no double-pump chump.
I like to watch. Do you?,"Tell me, Miss Trench, do you play any other games?",,"Excuse me, if I go straight this way, will I be able to reach your heart?",I wanna jump in your rift and show you a whole new world.
I like your sweater…it's soft. - Piper,That's quite a nice little nothing you're almost wearing. I approve.,,"Excuse me. I'm from the FBI, the Fine Body Investigators, and I'm going to have to ask you to assume the position",I want my shifty shaft to visit your moisty mire 
I love you almost as much as I love television,The CIA is trying to steal my penis... I need to find a place to hide it.,,"Fascinating. I've been looking at your eyes all night long, 'cause I've never seen such dark eyes with so much light in them.",I want to land on you baby.
I may be a sick lesbian in a prison bunk. But I got a couple tricks up my sleeve.,The names Will. God's will.,,"For a moment I thought I had died and gone to heaven. Now I see that I am very much alive, and heaven has been brought to me.",I would drop my gold scar for you.
"I may shoot to kill, but I’d miss you.",Then how about a nightcap on the company? My company.,,"Forget about Spiderman, Superman, and Batman. I'll be your man.",I would love to harvest your materials.
"I might be going on a tangent, but would you like to be the Sine to my Cosine?","Vesper Lynd: ""I can't resist waking you. Every time I do, you look at me as if you hadn't seen me in years. Makes me feel reborn.""",,Girl you so fine I wish I could plant you and grow a whole field of y'all!,I’ll show you how to have fun in pleasant park
"I might be having feelings. Like weird, weird feelings for pretzels.","James Bond: ""If you had just been born, wouldn't you be naked?""",,"Girl you're like a car accident, cause I just can't look away.",I’m gonna take u to pleasant park and shove my shifty shaft inside your dusty depot.
I need your help to polish my gun.,"Vesper Lynd: ""If the only thing left of you was your smile and your little finger, you'd still be more of a man than anyone I've ever known.""",,"Girl, are you a cop? [No] Because you're America's Finest",I'd jump off a floating bus for you. 
"I noticed you noticing me, so I just wanted to put you on notice.. that I notice you too","James Bond: ""That's because you know what I can do with my little finger . . . """,,"Girl, if I were a fly, I'd be all over you, because you're the shit!","If we were the last 2 people on earth, I'd throw a boogie bomb down so we can dance together forever."
I provide leverage.,"Wai-Lin: ""They're looking for us, James.""",,Guess what I'm wearing? The smile you gave me.,"If you are a default, I will carry you all night long."
I see you're into anarchy. I'd love to get wild with you.,"James Bond: ""Let's stay under cover.""",,"Have you always been this cute, or did you have to work at it?","If you were a chest, I would loot you. "
"I swear by my pretty floral bonnet, I will do you.",We understand you so much better than the guy you're with now.,,Have you been to the doctor lately? Because I think you're lacking some Vitamin Me.,If your legs were a chest I'd open you right up
"I think I've seen your picture somewhere before... oh yeah that's right, it was in the dictionary next to KABLAM!","Well, I'm afraid you've caught me with more than my hands up",,Heaven's missing an Angel.,Ill be the meteor to your Tilted Towers
I think I’m falling in love with you.,What's a nice girl like you doing at the corner of 5th and Guadalupe avenue at 8:37pm?,,"Hello are you married? [Yes] Well I didn't hear you say ""happily"".",I'll make you wet like a shield potion if you go out with me.
I think my penis stopped breathing. Do you know CPR?,"Whatever I am...Whatever is left of me, I'm yours.",,"Hello how are you? [Fine] Hey, I didn't ask you how you looked!",Is your name Mire? Because I'm making you Moisty. 
I think we should go out on a real date.,"When one is in Egypt, one should delve deeply into its treasures.",,"Hello, I'm a thief, and I'm here to steal your heart.",Let's spend the night in my fort and have a pleasant time.
I think you're hot. And whoever doesn't like it can kiss my ass!,Would you...be interested in a night cap,,"Hello, I'm doing a survey of what people think are the cheesiest pickup lines. So, do you pick 'Do you come here often?', 'What's your sign?', or 'Hello, I'm doing a survey of what people think are the cheesiest pickup lines.'?",My health is low and I have no shield and no weapon. The only cure is for me to chug on those jugs of yours and for you to give me a little pump action.
I think you're totally ah-mah-zing!,"Xenia Onatopp: ""You don't need the gun, Commander.""",,Hello. Are you taking any applications for a boy/girlfriend?,My health is low and I have no shield and no weapon. The only cure is for me to chug on those jugs of yours.
"I use coffee to wake up. And, now I'm up.","James Bond: ""Well, that depends on your definition of safe sex.""",,Hello. Cupid called. He says to tell you that he needs my heart back,my lodge is lonely without you.
I want to use my coupons for free hugs on you.,You come here often.,,"Here's $10. Drink until I am really good looking, then come and talk to me.",My mats is all wood for you.
I want you to be part of my life.,"You didn't think I'd miss this performance, did you?",,"Here's the key to my house, my car... and my heart",My towers tilt for you.
I was just listening to a crazy termite. Hatching a crazy plan that absolutely will not work.,"You don't think I enjoyed what we did this evening, do you? What I did tonight was for Queen and country!",,Hershey's makes millions of kisses a day.. .all I'm asking for is one from you.,No shockwave grenade is going to keeps you away from me.
I will help you avenge your father's death after you help me avenge this boner.,You look way prettier in person than through your webcam.,,"Hey baby you're so fine you make me stutter, wha-wha-what's your name?","Once I’m done with you, you’re gonna need to abortnite."
I wish I was a pokemon master so I could peek-at-chu (pikachu).,"You're a woman of many parts, Pussy!",,"Hey baby, I must be a light switch, because every time I see you, you turn me on!",The only solo win I desire is You.
I wish I was an ion so I could form an exothermic bond with you.,You're free Friday. Would you like to have dinner?,,"Hey baby, you've got something on your butt - my eyes!",Time to get some pump action.
I would wuv to get in your pants.,,,Hey baby. You got a jersey? [A jersey?...Why?] Because I need your name and number.,Wanna feel my shifty shaft? 
I'd do anything to protect my sister. Does that make you hot?,,,Hey how many boyfriends have you had? (Like 10 I Think) Could I Make That 11?,Want me to Grease up your Grove tonight? 
I'd like to hang out at your peach pit,,,"Hey, are you my appendix? Because I don't understand what you do, but this feeling in my stomach makes me want to take you out?",Want to check out my pickaxe?
I'd like to love you until un-death do us part.,,,"Hey, don't frown. You never know who could be falling in love with your smile.",Want to Fortnite and Chill?
I'd love to be the Diet Pepsi to your Sofia Vergara.,,,"Hey, don't I know you? Yeah, you're the girl with the beautiful smile.",Would You like to rocket ride me?
I'd love to dock my boat in your harbor.,,,"Hey, how did you do that? (What?) Look so good?",You are as fine as a gold scar.
I'd love to tune up your engine.,,,"Hey, I didn't know angels flew so low.",You are as rare as a purple RPG from a chest.
I'd never yada yada sex with you!,,,"Hey, I'm new in town.",You ever been sprayed by a mini gun?
I'll be in my bunk. Wanna come with?,,,"Hey, is it just me, or are we destined to be married?",You got a jump pad? Cause I’ll jump right over to you.
I'll follow you through a revolution and back.,,,"Hey... Didn't I see your name in the dictionary under ""Shazaam!""?",You have built into my heart.
I'll hack my way into your heart.,,,Hey... somebody farted. Let's get out of here.,You just won the battle royal to my heart.
I'll love you until Tom catches Jerry and has him 4 supper,,,"Hi, did your license get suspended for driving all these guys crazy?",You turned my pants into a Moisty Mire.
I'll slime you so good you'll think your on Nickelodeon,,,"Hi, I have big feet.",You won my heart.
"I'm a criminal, we keep odd hours.",,,"Hi, I'm a fashion photographer. Would you like to be in my next photo shoot?",You'll be wailing at my woods.
I'm a paleontologist. I dig.,,,"Hi, I'm Mr. Right--I heard you were looking for me.",Your chest is legendary.
I'm a real good sex person,,,"Hi, I'm writing a term paper on the finer things in life, and I was wondering if I could interview you?",Hey girl do you play Fortnite.
"I'm a spring princess, so consider yourself sprung!",,,"Hi, my name is Doug. That's ""god"" spelled backwards with a little bit of U wrapped up in it",I got a bazooka in my pants and it's legendary.
I'm a sucker for surveillance. Would you like to join me?,,,"Hi, the voices in my head told me to come over and talk to you.",I’ll be your duo queue tonight.
I'm a very private person. Care to be something I'll never tell a soul about?,,,"Hi. I'm an astronaut, and my next mission is to explore Uranus.",
I'm Chuck Bass.,,,How come you're not on top of a Christmas tree? I thought that's where angels belonged.,
I'm dating myself.,,,How does it feel to be the most beautiful girl in this place?,
"I'm digging your body, but what really turns me on are your brainssssss!",,,How is your fever? [What fever?] Oh... you just look hot to me.,
I'm Earl Kinsella and I have a lot to offer,,,How much does a polar beat weight? Enough to break the ice!,
I'm feeling some sapphic vibes coming off you.,,,How much? To buy your heart baby...,
"I'm giving you my cold face. Hardcore, right?",,,How was heaven when you left it?,
"I'm like a human USB, baby. I can do it all.",,,I am a man of few words. You are beautiful. Would you like to go out?,
I'm like a ship without a port!,,,I bet you $20 you're gonna turn me down.,
"I'm lyin' I'm dyin', you know what I'm sayin?",,,I blame you for global warming... your hotness is too much for the planet to handle!,
"I'm not a doctor, but I'd sure love to give you a physical exam.",,,I can hold my liquor but kissing you would make me weak at the knees.,
I'm not a gold digger. It's just your bank account turns me on.,,,"I can't believe I've been hear the entire evening with all these beautiful people and the moment I find 'The One', all I have time to say is ""good bye"".",
I'm not a stop along the way. I'm a destination.,,,I can't think of anyone else I'd rather survive a Zombie Apocalypse with.,
"I'm not Colombian, but I can tell you're caliente.",,,I could use some spare change and you're a dime.,
I'm not so good with the advice... Can I interest you in a sarcastic comment?,,,"I didn't believed in heaven, until I saw you.",
"I'm only a teacher from 8:15 to 3:00. After that, I'm just a person like anyone else.",,,I didn't know angels were allowed on campus.,
"I've got a ""book"" for you to red.",,,I didn't know that angels could fly so low!,
"I've got a fever, and the only prescription is more of what you've got, baby.",,,"I didn't see any stars in the sky tonight, the most heavenly body was standing right next to me.",
"If I get your number, can I call you sexy?",,,"I don't have a library card, but do you mind if I check you out?",
"If I told you you had a beautiful body, would you hold it against me? Get it? It's a double entendre... Savez-vous?",,,I don't know how I'll ever get to class on time when it's so easy to get lost in your eyes.,
"If I’m a demon, you must be a Devil’s Trap, because I’m stuck to you.",,,"I don't know if you're beautiful, I haven't gotten past your eyes yet.",
"If you think I'm crazy now, wait until we get in the sack.",,,"I don't know which is prettier today, the water, the sky or your eyes.",
"If you want to receive e-mails about my upcoming shows, then please give me money so I can buy a computer.",,,"I don't know you, but I think I love you already",
"If you're too good for 99 percent of guys, that's cool, because I'm a one-percenter.",,,I have an 'owie' on my lip. Will you kiss it and make it better?,
"In the morning, I'll let you wear my knitted cap.",,,"I have had a really bad day and it always makes me feel better to see a pretty girl smile. So, would you smile for me?",
Is Gabriel around? Because you’re like a beautiful mirage.,,,I hear they banned you from school lunches for being so sweet.,
Is that a Callahan full-bore auto-lock or are you just happy to see me?,,,"I hope there's a fire truck nearby, cause you're smokin'!",
Is that a stair car in your pants or are you happy to see me?,,,"I hope there's a fireman around, cause you're smokin'!",
"Is that rigor mortis setting in, or are you just happy to see me?",,,"I hope you know CPR, because you take my breath away!",
Is that the Colt in your pocket or are you just happy to see me?,,,I hope you like coffee...because I always have Folgers in my Cup,
Is your name Alec Hardison? it seems you know how to turn my software to hardware.,,,I hope your day has been as beautiful as you are.,
It is what it looks like - I was sent here to kill you.,,,"I just got dumped, and I think that you could make me feel better.",
It's not stalking if you both happen to be at the same party. (Spike),,,I just got this naughty list from Santa and I'm pretty sure you're on it.,
It’s beautiful here.,,,I just had to come talk with you. Sweetness is my weakness.,
I’d go to hell and back just to be with you.,,,I just wanted to show this rose how incredibly beautiful you are!,
I’d like to be your Mother of All,,,"I know I don't have a chance, but I just wanted to hear an angel speak.",
I’d love to jump in your hole.,,,I know I'm not a library book but I can tell when you're checking me out.,
I’m just admiring you. It’s impressive how you’ve handled everything.,,,"I know milk does a body good, but baby, how much have you been drinking?",
"I’m not a wraith, but I can make you go crazy with one touch.",,,"I know somebody who likes you but if I weren't so shy, I'd tell you who.",
Janice: Oh... my... God!,,,"I like Legos, you like Legos, why don't we build a relationship?",
"Joan, let's make a pact, OK? If we're both still single in an hour, let's get married.",,,"I love my bed, but I'd rather be in yours.",
"Joey: Come on, give me another chance. I can do a southern accent. [with Jamaican accent] Joey: Ya, mon.",,,I love you like a pig loves not being bacon.,
"Let play a game called T.V, I turn your knobs and you watch my antennae rise.",,,"I may not be a genie, but I can make your dreams come true.",
Let's commit the perfect crime: I'll steal you're heart and you'll steal mine.,,,"I may not be DQ, but I could treat you right.",
Let's get together and test the Big Bang Theory.,,,"I must be a snowflake, because I've fallen for you.",
Let's go break the law just one more time.,,,"I must be dancing with the devil, because you're hot as hell.",
"Let's go out to Oyster Bay, where no one will find us for a long, long time.",,,"I must be in a museum, because you truly are a work of art.",
Let's park and get some recreation going.,,,I must be in heaven because I'm looking at an angel!,
Let's role play tonight. You play me and I'll play you.,,,"I need a dollar, but I only have 90 cents... do you want to be my dime?",
Let's run away on that boat I stole from some white guy,,,I need more than 140 characters to tell you how beautiful you are.,
Let's take some revenge out on these sheets.,,,I need some answers for my math homework. Quick. What's your number?,
Let's work on our night cheese together,,,I never need to see the sun again because your eyes light up my world.,
Let’s get out of here and go all Chuck and Blair in the back of the limo.,,,"I play the field, and it looks like I just hit a home run with you.",
"Listen to me. This harvest festival, it's gonna knock your socks off and when it does, I'm gonna be there to give you a foot massage. To completion.",,,I seem to have lost my phone number. Can I have yours?,
"Look, if you knew me at all and shut me down, it would be one thing, but to be dismissed on a simple ""hello"", well, that's a tough pill to swallow.",,,I sneezed because God blessed me with you.,
Looking for your happy ending? Let me show you the way.,,,"I think I can die happy now, cause I've just seen a piece of heaven.",
"Love isn't blind, it's retarded.",,,I think it is time I tell you what people are saying behind your back. Nice Ass!,
Meat should never be used as an adjective.,,,I think there's something wrong with my eyes because I can't take them off you.,
My engine is overheating just standing near you.,,,I think you just stole something. [What?] My heart.,
My freedom is worth more than anything that diamond could buy.,,,I think you're suffering from a lack on vitamin me.,
My name's Nate Ford...and I am a thief.,,,I thought happiness started with an H. Why does mine start with U?,
My nephew was in twilight,,,I tried my best to not feel anything for you. Guess what? I failed.,
My sex doll is very popular in Japan,,,I tried to send you something sexy last night but the mail man told me to get out of the mailbox,
"Neal Caffrey, at your service.",,,I wanna live in your socks so I can be with you every step of the way,
No power in the 'Verse can stop me... in bed.,,,"I want our love to be like pi, irrational and never ending.",
"No sex for you! I mean..Yes, sex for you!",,,"I want to be your tear drop, so I could be born in your eyes, live on your cheeks, and die on your lips.",
No tea in this dress shop? What are you going to do?.. Put me in dress jail?,,,I want to tell you your fortune. [Take her hand and write your phone number on it.] Your future is clear.,
"No, I don’t text her, 'It was nice meeting you.' I wait eight weeks and I text her, ‘What's crackin?'",,,I want you almost as much as I want world peace.,
Of course I'm good in bed. How do you think Finch got his limp?,,,"I was feeling a little off today, but you definitely turned me on.",
"Oh there is plenty of fish in the sea, but only one bass.",,,I was so enchanted by your beauty that I ran into that wall over there. So I'm going to need your name and number for insurance purposes.,
"Once I bent down to pet a small dog and hey, it was a 5 pound squirrels.",,,I was wondering if you had an extra heart mine seems to have been stolen,
"One time in college, a girl told me it's not you, it's me. You're darn right it's you... you heifer!",,,I was wondering if you have a moment to spare for me to hit on you?,
Ouch! My tooth hurts..it's because you're so sweet.,,,"I wasnt sure if you were a beautiful angel or a sexy devil, but now that I'm close I see heaven in your eyes.",
"Plus, I don't have any early classes so we can sleep in",,,I will stop loving you when an apple grows from a mango tree on the 30th of February.,
"Revenge is a dish best served cold; my love on the other hand, is best served hot and steamy.",,,"I wish I was cross eyed, so I could see you twice.",
"Revenge might be a dish served cold, but I'll make sure the sex is piping hot.",,,"I won't give you a pick-up line, if you let me buy you a drink.",
Sex couldn't kill me.,,,I would die a million deaths if it meant I could be with you!,
Sitting next to borpoh doesn't come close to snitting next to yerpoh,,,I'd marry your cat just to get in the family.,
Sometimes bad guys are the only good guys you get.,,,"I'd offer you a cigarette, but you're already smoking hot.",
"Spike: You listen to me. [Kneels in front of her] I've been alive a bit longer than you, and dead a lot longer than that. I've seen things you couldn't imagine, and done things I prefer you didn't. I don't exactly have a reputation for being a thinker. I follow my blood, which doesn't exactly rush in the direction of my brain. So I make a lot of mistakes, a lot of wrong bloody calls. A hundred plus years, and there's only one thing I've ever been sure of: you.",,,"I'd say God Bless you, but it looks like he already did.",
Standing next to you makes me feel better about myself,,,I'd suck a fart out of your ass and hold it like a bong hit.,
"Ted Mosby, Architect",,,"I'll be Burger King and you be McDonald's. I'll have it my way, and you'll be lovin' it.",
That ass. Have Mercy.,,,I'll cook you dinner if you cook me breakfast.,
The story I tell our future kids about this moment will be legen- wait for it…,,,I'll show you my tan lines if you show me yours.,
There's a banana stand in my pants.,,,I'm drowning in the sun and need mouth to mouth now!,
"They call me the hero of canton, you know.",,,I'm fighting the urge to make you the happiest woman on earth tonight.,
They call me toofer because I'm both black and great in bed,,,I'm going outside to make out... care to join me?,
Think I'm in trouble?,,,"I'm going to need a tall glass of cold water, because baby your making me HOT!",
"This might sound crazy, but I just had a flash-forward to us falling in love and getting married.",,,I'm lactose intolerant so please keep your cheesy pick up lines away from me.,
This suit is for leisure. But many times I wear it to get down to business.,,,I'm learning about important dates in history. Wanna be one of them?,
"To another time, to another place, to another us.",,,"I'm Mr. Right, someone said you were looking for me?",
To blergh you is to love you,,,I'm new in town. Could you give me directions to your apartment?,
Two words: Companion training.,,,"I'm no mathematician, but I'm pretty good with numbers. Tell you what, Give me yours and watch what I can do with it.",
"Wade: What's going on here? Zoe: I am here, Wade, to seduce you. Wade: You know, most people don't announce it first. Zoe: I just wanted to make sure you were aware of what was happening because this, my friend, is happening.",,,I'm no organ donor but I'd be happy to give you my heart.,
Wanna get in? I'd love to give you a ride.,,,"I'm not a photographer, but I can picture me and you together",
Wanna get twixt my nethers?,,,I'm not actually this tall. I'm sitting on my wallet.,
Wanna make a huge mistake?,,,"I'm not drunk, I'm just intoxicated by you.",
We can sandwich toast to orgasms. - Red,,,I'm not staring at your boobs. I'm staring at your heart.,
What is it with women and shoes?,,,"I'm not trying to impress you or anything, but... I'm Batman!",
"Whatever it is that you servin, you better give me a double",,,"I'm sorry, I don't think we've met. I wouldn't forget a pretty face like that.",
Whatever your real name is I will love you.,,,"I'm sorry, were you talking to me? [No] Well then, would you like to?",
Who needs consent? I'm Chuck Bass.,,,"I'm writing a term paper on the finer things in life, and I was wondering if I could interview you.",
Why do you have to throw a wet blanket on my dreams?,,,"I've been wondering, do your lips taste as good as they look?",
Will you be my person?,,,"I've got skittles in my mouth, wanna taste the rainbow?",
Will you be my sex Yoda?,,,"I've gotta thirst, baby, and you smell like my Gatorade.",
Would you like to stroke my gun? Her name is vera.,,,I've had a really bad day but it always makes me feel better when I see a pretty girl smile. Would smile for me and make my day?,
"Yeah, that's a gun in my pants. But I'm also really happy to see you.",,,I've had such an off week but seeing you just turns me on.,
"Yes I am a hunter, and it's you season.",,,I've heard it's bad luck not to kiss someone at midnight. (New Year's Eve),
YOLO!,,,I've noticed you noticing me and I'm just giving you notice that I've noticed you!,
You all that and a bag of chips!,,,I’m single and desolate. Can you help me?,
You can call me Sophie Devereaux. Because I'm the greatest actress.. when I am stealing your heart.,,,I’ve only got three months to live.,
"You can't tell me your opinion doesn't matter. You changed me for the better in a hundred different ways. Yeah, I might miss a book or a, a salad here and there, but...I've got Claire all over me.",,,"If a fat man puts you in a bag at night, don't worry I told Santa I wanted you for Christmas.",
You checkin’ out my guns?,,,"If a thousand painters worked for a thousand years, they could not create a work of art as beautiful as you",
You don’t need a spell to summon me.,,,"If beauty were time, you'd be eternity",
You f***ing tickle me. - Nicky,,,"If God made anything more beautiful than you, I'm sure he'd keep it for himself.",
You have a tell.,,,"If I could reach out and hold a star for every time you've made me smile, I'd hold the sky in the palm of my hand.",
You have heartbreak and I have hostility. Let's take the day off and play hooky,,,"If I could rearrange the alphabet, I would put 'U' and 'I' together.",
You know from the moment I met you I knew You were a man of fine taste.,,,"If I followed you home, would you keep me?",
You make me feel like I'm high-fiving a million angels,,,"If I freeze, it's not a computer virus. I was just stunned by your beauty.",
"You might not know it to look at me, but I can run really, really fast.",,,"If I get hooked on you, will you hook up with me?",
You must be a hell of a thief because you stole my heart from across the room.,,,If I had a garden I'd put your two lips and my two lips together.,
"You must be Pestilence, ‘cause you’ve infected me.",,,"If I had a penny for every time I thought of you, I'd have exactly one cent, because you never leave my mind.",
You must be the Impala because I’d love to ride you all night.,,,"If I had a rose for every time I thought of you, I would be walking through my garden forever.",
"You must be the yellow-eyed demon, because you’re my obsession.",,,"If I had a star for every time you brightened my day, I'd have a galaxy in my hand.",
